Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
19-Apr,Brisbane,Tokyo,Japan,7163,7145,14308,2019,4
19-Apr,Brisbane,Vancouver,Canada,4721,6633,11354,2019,4
19-Apr,Brisbane,Wellington,New Zealand,8125,6840,14965,2019,4
19-May,Brisbane,Abu Dhabi,United Arab Emirates,5409,8919,14328,2019,5
19-May,Brisbane,Apia,Western Samoa,1287,1201,2488,2019,5
19-May,Brisbane,Auckland,New Zealand,38816,37640,76456,2019,5
19-May,Brisbane,Bangkok,Thailand,3987,4629,8616,2019,5
19-May,Brisbane,Christchurch,New Zealand,10595,9560,20155,2019,5
19-May,Brisbane,Denpasar,Indonesia,17736,18796,36532,2019,5
19-May,Brisbane,Dubai,United Arab Emirates,14474,19455,33929,2019,5
19-May,Brisbane,Dunedin,New Zealand,1893,1660,3553,2019,5
19-May,Brisbane,Espiritu Santo,Vanuatu,394,362,756,2019,5
19-May,Brisbane,Guangzhou,China,7302,7173,14475,2019,5
19-May,Brisbane,Hong Kong,Hong Kong (SAR),13478,14602,28080,2019,5
19-May,Brisbane,Honiara,Solomon Islands,2101,1955,4056,2019,5
19-May,Brisbane,Honolulu,USA,3179,3147,6326,2019,5
19-May,Brisbane,Kuala Lumpur,Malaysia,3562,3147,6709,2019,5
19-May,Brisbane,Los Angeles,USA,15783,15621,31404,2019,5
19-May,Brisbane,Manila,Philippines,3122,2387,5509,2019,5
19-May,Brisbane,Munda,Solomon Islands,0,252,252,2019,5
19-May,Brisbane,Nadi,Fiji,8440,8276,16716,2019,5
19-May,Brisbane,Nauru,Nauru,764,552,1316,2019,5
19-May,Brisbane,Noumea,New Caledonia,2155,2039,4194,2019,5
19-May,Brisbane,Port Moresby,Papua New Guinea,7680,7283,14963,2019,5
19-May,Brisbane,Port Vila,Vanuatu,2950,2904,5854,2019,5
19-May,Brisbane,Queenstown,New Zealand,1565,1527,3092,2019,5
19-May,Brisbane,Seoul,Korea,3371,3644,7015,2019,5
19-May,Brisbane,Shanghai,China,2934,2976,5910,2019,5
19-May,Brisbane,Shenzhen,China,1153,1124,2277,2019,5
19-May,Brisbane,Singapore,Singapore,38103,37469,75572,2019,5
19-May,Brisbane,Taipei,Taiwan,8772,8611,17383,2019,5
19-May,Brisbane,Tokyo,Japan,6686,6755,13441,2019,5
19-May,Brisbane,Vancouver,Canada,4954,7056,12010,2019,5
19-May,Brisbane,Wellington,New Zealand,6728,5922,12650,2019,5
19-Jun,Brisbane,Abu Dhabi,United Arab Emirates,6847,8211,15058,2019,6
19-Jun,Brisbane,Apia,Western Samoa,1268,1449,2717,2019,6
19-Jun,Brisbane,Auckland,New Zealand,35198,36878,72076,2019,6
19-Jun,Brisbane,Bangkok,Thailand,4130,5325,9455,2019,6
19-Jun,Brisbane,Christchurch,New Zealand,9773,10414,20187,2019,6
19-Jun,Brisbane,Denpasar,Indonesia,17358,18669,36027,2019,6
19-Jun,Brisbane,Dubai,United Arab Emirates,19952,26200,46152,2019,6
19-Jun,Brisbane,Dunedin,New Zealand,1885,1915,3800,2019,6
19-Jun,Brisbane,Espiritu Santo,Vanuatu,326,369,695,2019,6
19-Jun,Brisbane,Guangzhou,China,7316,7669,14985,2019,6
19-Jun,Brisbane,Hong Kong,Hong Kong (SAR),14755,17029,31784,2019,6
19-Jun,Brisbane,Honiara,Solomon Islands,2309,2728,5037,2019,6
19-Jun,Brisbane,Honolulu,USA,2549,2923,5472,2019,6
19-Jun,Brisbane,Kuala Lumpur,Malaysia,3220,3973,7193,2019,6
19-Jun,Brisbane,Los Angeles,USA,15666,16556,32222,2019,6
19-Jun,Brisbane,Manila,Philippines,2686,2761,5447,2019,6
19-Jun,Brisbane,Munda,Solomon Islands,0,151,151,2019,6
19-Jun,Brisbane,Nadi,Fiji,7589,8703,16292,2019,6
19-Jun,Brisbane,Nauru,Nauru,534,298,832,2019,6
19-Jun,Brisbane,Noumea,New Caledonia,2325,2796,5121,2019,6
19-Jun,Brisbane,Port Moresby,Papua New Guinea,7617,8163,15780,2019,6
19-Jun,Brisbane,Port Vila,Vanuatu,3080,3584,6664,2019,6
19-Jun,Brisbane,Queenstown,New Zealand,3231,4064,7295,2019,6
19-Jun,Brisbane,Seoul,Korea,3888,4119,8007,2019,6
19-Jun,Brisbane,Shanghai,China,2780,3135,5915,2019,6
19-Jun,Brisbane,Shenzhen,China,1385,1503,2888,2019,6
19-Jun,Brisbane,Singapore,Singapore,38137,43816,81953,2019,6
19-Jun,Brisbane,Taipei,Taiwan,8103,9396,17499,2019,6
19-Jun,Brisbane,Tokyo,Japan,5958,5789,11747,2019,6
19-Jun,Brisbane,Vancouver,Canada,5672,6853,12525,2019,6
19-Jun,Brisbane,Wellington,New Zealand,6688,6321,13009,2019,6
