Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
19-Mar,Sydney,Auckland,New Zealand,73293,69905,143198,2019,3
19-Mar,Sydney,Bahrain,Bahrain,0,0,0,2019,3
19-Mar,Sydney,Bangkok,Thailand,20702,19414,40116,2019,3
19-Mar,Sydney,Beijing,China,9774,11158,20932,2019,3
19-Mar,Sydney,Changsha,China,1266,1014,2280,2019,3
19-Mar,Sydney,Chengdu,China,2388,2255,4643,2019,3
19-Mar,Sydney,Chicago,USA,0,0,0,2019,3
19-Mar,Sydney,Chongqing,China,1671,1170,2841,2019,3
19-Mar,Sydney,Christchurch,New Zealand,24175,23313,47488,2019,3
19-Mar,Sydney,Dallas,USA,7830,9947,17777,2019,3
19-Mar,Sydney,Denpasar,Indonesia,22248,23186,45434,2019,3
19-Mar,Sydney,Doha,Qatar,13480,22983,36463,2019,3
19-Mar,Sydney,Dubai,United Arab Emirates,25198,31019,56217,2019,3
19-Mar,Sydney,Fuzhou,China,2480,1957,4437,2019,3
19-Mar,Sydney,Guangzhou,China,15769,16017,31786,2019,3
19-Mar,Sydney,Haikou,China,1517,1511,3028,2019,3
19-Mar,Sydney,Hangzhou,China,1726,1138,2864,2019,3
19-Mar,Sydney,Hanoi,Vietnam,2169,2323,4492,2019,3
19-Mar,Sydney,Ho Chi Minh City,Vietnam,11234,9498,20732,2019,3
19-Mar,Sydney,Hong Kong,Hong Kong (SAR),49200,50100,99300,2019,3
19-Mar,Sydney,Honolulu,USA,13384,15046,28430,2019,3
19-Mar,Sydney,Houston,USA,4568,6242,10810,2019,3
19-Mar,Sydney,Jakarta,Indonesia,6956,6657,13613,2019,3
19-Mar,Sydney,Johannesburg,South Africa,6574,5875,12449,2019,3
19-Mar,Sydney,Kuala Lumpur,Malaysia,22791,19096,41887,2019,3
19-Mar,Sydney,Kunming,China,2129,2203,4332,2019,3
19-Mar,Sydney,London,UK,7516,10162,17678,2019,3
19-Mar,Sydney,Los Angeles,USA,37966,40245,78211,2019,3
19-Mar,Sydney,Louisville,USA,0,0,0,2019,3
19-Mar,Sydney,Manila,Philippines,17541,15354,32895,2019,3
19-Mar,Sydney,Nadi,Fiji,15456,15792,31248,2019,3
19-Mar,Sydney,Nanjing,China,1889,1368,3257,2019,3
19-Mar,Sydney,New Delhi,India,4299,4186,8485,2019,3
19-Mar,Sydney,New York,USA,2265,2516,4781,2019,3
19-Mar,Sydney,Ningbo,China,0,0,0,2019,3
19-Mar,Sydney,Noumea,New Caledonia,3581,3762,7343,2019,3
19-Mar,Sydney,Osaka,Japan,3771,3892,7663,2019,3
19-Mar,Sydney,Phuket,Thailand,3716,3567,7283,2019,3
19-Mar,Sydney,Port Moresby,Papua New Guinea,730,655,1385,2019,3
19-Mar,Sydney,Port Vila,Vanuatu,2867,2683,5550,2019,3
19-Mar,Sydney,Qingdao,China,2074,1768,3842,2019,3
19-Mar,Sydney,Queenstown,New Zealand,14096,12503,26599,2019,3
19-Mar,Sydney,Rarotonga,Cook Islands,845,1135,1980,2019,3
19-Mar,Sydney,San Francisco,USA,13169,14749,27918,2019,3
19-Mar,Sydney,Santiago,Chile,8954,8736,17690,2019,3
19-Mar,Sydney,Seoul,Korea,20224,23880,44104,2019,3
19-Mar,Sydney,Shanghai,China,19249,18214,37463,2019,3
19-Mar,Sydney,Shenzhen,China,2277,1646,3923,2019,3
19-Mar,Sydney,Singapore,Singapore,60262,56579,116841,2019,3
19-Mar,Sydney,Suva,Fiji,172,203,375,2019,3
19-Mar,Sydney,Taipei,Taiwan,5045,6264,11309,2019,3
19-Mar,Sydney,Tianjin,China,215,189,404,2019,3
19-Mar,Sydney,Tokyo,Japan,20593,21803,42396,2019,3
19-Mar,Sydney,Tongatapu,Tonga,691,720,1411,2019,3
19-Mar,Sydney,Toronto,Canada,1514,1397,2911,2019,3
19-Mar,Sydney,Vancouver,Canada,6119,6702,12821,2019,3
19-Mar,Sydney,Wellington,New Zealand,15660,15052,30712,2019,3
19-Mar,Sydney,Wuhan,China,1751,1048,2799,2019,3
19-Mar,Sydney,Xiamen,China,2601,2233,4834,2019,3
19-Mar,Sydney,Xi'an,China,2105,1469,3574,2019,3
19-Mar,Sydney,Zhengzhou,China,864,485,1349,2019,3
19-Apr,Sydney,Abu Dhabi,United Arab Emirates,17382,22777,40159,2019,4
19-Apr,Sydney,Anchorage,USA,0,0,0,2019,4
19-Apr,Sydney,Apia,Western Samoa,1823,2065,3888,2019,4
19-Apr,Sydney,Auckland,New Zealand,72293,69419,141712,2019,4
19-Apr,Sydney,Bangkok,Thailand,22533,21639,44172,2019,4
19-Apr,Sydney,Beijing,China,12434,13839,26273,2019,4
19-Apr,Sydney,Changsha,China,1793,1901,3694,2019,4
19-Apr,Sydney,Chengdu,China,2536,2800,5336,2019,4
19-Apr,Sydney,Chicago,USA,0,0,0,2019,4
19-Apr,Sydney,Chongqing,China,2049,2079,4128,2019,4
19-Apr,Sydney,Christchurch,New Zealand,24027,23421,47448,2019,4
19-Apr,Sydney,Dallas,USA,7109,10577,17686,2019,4
19-Apr,Sydney,Denpasar,Indonesia,25378,27128,52506,2019,4
19-Apr,Sydney,Doha,Qatar,17865,23867,41732,2019,4
19-Apr,Sydney,Dubai,United Arab Emirates,23803,32382,56185,2019,4
19-Apr,Sydney,Fuzhou,China,2592,2625,5217,2019,4
19-Apr,Sydney,Guangzhou,China,15853,15874,31727,2019,4
19-Apr,Sydney,Haikou,China,1656,2193,3849,2019,4
19-Apr,Sydney,Hangzhou,China,1479,1594,3073,2019,4
19-Apr,Sydney,Hanoi,Vietnam,2565,3008,5573,2019,4
19-Apr,Sydney,Ho Chi Minh City,Vietnam,10316,10582,20898,2019,4
19-Apr,Sydney,Hong Kong,Hong Kong (SAR),51919,54202,106121,2019,4
19-Apr,Sydney,Honolulu,USA,18391,18964,37355,2019,4
19-Apr,Sydney,Houston,USA,3327,4058,7385,2019,4
19-Apr,Sydney,Jakarta,Indonesia,6814,7489,14303,2019,4
19-Apr,Sydney,Johannesburg,South Africa,6736,6951,13687,2019,4
19-Apr,Sydney,Kuala Lumpur,Malaysia,24283,24332,48615,2019,4
19-Apr,Sydney,Kunming,China,1449,1626,3075,2019,4
19-Apr,Sydney,Lanzhou,China,0,0,0,2019,4
19-Apr,Sydney,London,UK,7342,11675,19017,2019,4
19-Apr,Sydney,Los Angeles,USA,35261,38482,73743,2019,4
19-Apr,Sydney,Louisville,USA,0,0,0,2019,4
19-Apr,Sydney,Macau,Macau,0,0,0,2019,4
19-Apr,Sydney,Manila,Philippines,20440,19294,39734,2019,4
19-Apr,Sydney,Nadi,Fiji,21742,23343,45085,2019,4
19-Apr,Sydney,Nanjing,China,1760,1788,3548,2019,4
19-Apr,Sydney,New Delhi,India,4819,4670,9489,2019,4
19-Apr,Sydney,New York,USA,2434,2500,4934,2019,4
19-Apr,Sydney,Noumea,New Caledonia,4126,4070,8196,2019,4
19-Apr,Sydney,Osaka,Japan,3748,3554,7302,2019,4
19-Apr,Sydney,Phuket,Thailand,3742,3706,7448,2019,4
19-Apr,Sydney,Port Moresby,Papua New Guinea,695,777,1472,2019,4
19-Apr,Sydney,Port Vila,Vanuatu,3512,3388,6900,2019,4
19-Apr,Sydney,Qingdao,China,1765,1663,3428,2019,4
19-Apr,Sydney,Queenstown,New Zealand,14184,12586,26770,2019,4
19-Apr,Sydney,Rarotonga,Cook Islands,894,1008,1902,2019,4
19-Apr,Sydney,San Francisco,USA,13838,15939,29777,2019,4
19-Apr,Sydney,Santiago,Chile,7913,7181,15094,2019,4
19-Apr,Sydney,Seoul,Korea,14194,14555,28749,2019,4
19-Apr,Sydney,Shanghai,China,16529,17012,33541,2019,4
19-Apr,Sydney,Shenzhen,China,3112,2820,5932,2019,4
19-Apr,Sydney,Singapore,Singapore,63305,62354,125659,2019,4
19-Apr,Sydney,Suva,Fiji,166,236,402,2019,4
19-Apr,Sydney,Taipei,Taiwan,8546,9696,18242,2019,4
19-Apr,Sydney,Tokyo,Japan,18678,18832,37510,2019,4
19-Apr,Sydney,Tongatapu,Tonga,1023,822,1845,2019,4
19-Apr,Sydney,Toronto,Canada,1493,1259,2752,2019,4
19-Apr,Sydney,Vancouver,Canada,4556,6788,11344,2019,4
19-Apr,Sydney,Wellington,New Zealand,16250,15502,31752,2019,4
19-Apr,Sydney,Wuhan,China,1799,1979,3778,2019,4
19-Apr,Sydney,Xiamen,China,2680,2784,5464,2019,4
19-Apr,Sydney,Xi'an,China,2342,2154,4496,2019,4
19-May,Sydney,Abu Dhabi,United Arab Emirates,15293,24552,39845,2019,5
19-May,Sydney,Almaty,Kazakhstan,0,0,0,2019,5
19-May,Sydney,Anchorage,USA,0,0,0,2019,5
19-May,Sydney,Apia,Western Samoa,1757,1714,3471,2019,5
19-May,Sydney,Auckland,New Zealand,61310,56417,117727,2019,5
19-May,Sydney,Bangkok,Thailand,20455,20042,40497,2019,5
19-May,Sydney,Beijing,China,10534,14737,25271,2019,5
19-May,Sydney,Changsha,China,1450,1604,3054,2019,5
19-May,Sydney,Chengdu,China,2310,2837,5147,2019,5
19-May,Sydney,Chicago,USA,0,0,0,2019,5
19-May,Sydney,Chongqing,China,1630,1817,3447,2019,5
19-May,Sydney,Christchurch,New Zealand,16788,16162,32950,2019,5
19-May,Sydney,Dallas,USA,8501,9922,18423,2019,5
19-May,Sydney,Denpasar,Indonesia,27427,27640,55067,2019,5
19-May,Sydney,Doha,Qatar,16793,24939,41732,2019,5
19-May,Sydney,Dubai,United Arab Emirates,23647,29777,53424,2019,5
19-May,Sydney,Fuzhou,China,2029,2127,4156,2019,5
19-May,Sydney,Guangzhou,China,14222,14407,28629,2019,5
19-May,Sydney,Haikou,China,1238,1959,3197,2019,5
19-May,Sydney,Hangzhou,China,1833,1353,3186,2019,5
19-May,Sydney,Hanoi,Vietnam,1679,1815,3494,2019,5
19-May,Sydney,Ho Chi Minh City,Vietnam,10521,9398,19919,2019,5
19-May,Sydney,Hong Kong,Hong Kong (SAR),45350,48918,94268,2019,5
19-May,Sydney,Honolulu,USA,22105,19627,41732,2019,5
19-May,Sydney,Houston,USA,3263,3719,6982,2019,5
19-May,Sydney,Jakarta,Indonesia,7221,5703,12924,2019,5
19-May,Sydney,Johannesburg,South Africa,5804,6189,11993,2019,5
19-May,Sydney,Kuala Lumpur,Malaysia,25081,20681,45762,2019,5
19-May,Sydney,Kunming,China,1354,1806,3160,2019,5
19-May,Sydney,London,UK,7539,11615,19154,2019,5
19-May,Sydney,Los Angeles,USA,38593,35201,73794,2019,5
19-May,Sydney,Louisville,USA,0,0,0,2019,5
19-May,Sydney,Manila,Philippines,19545,16506,36051,2019,5
19-May,Sydney,Nadi,Fiji,20448,19992,40440,2019,5
19-May,Sydney,Nanjing,China,1924,1459,3383,2019,5
19-May,Sydney,New Delhi,India,4891,3726,8617,2019,5
19-May,Sydney,New York,USA,2612,2644,5256,2019,5
19-May,Sydney,Noumea,New Caledonia,3921,3304,7225,2019,5
19-May,Sydney,Osaka,Japan,4290,4428,8718,2019,5
19-May,Sydney,Phuket,Thailand,3687,3959,7646,2019,5
19-May,Sydney,Port Moresby,Papua New Guinea,569,554,1123,2019,5
19-May,Sydney,Port Vila,Vanuatu,2912,2573,5485,2019,5
19-May,Sydney,Qingdao,China,1553,1303,2856,2019,5
19-May,Sydney,Queenstown,New Zealand,9532,8057,17589,2019,5
19-May,Sydney,Rarotonga,Cook Islands,999,1229,2228,2019,5
19-May,Sydney,San Francisco,USA,13751,14779,28530,2019,5
19-May,Sydney,Santiago,Chile,6420,5990,12410,2019,5
19-May,Sydney,Seoul,Korea,14524,14782,29306,2019,5
19-May,Sydney,Shanghai,China,17960,17925,35885,2019,5
19-May,Sydney,Shenzhen,China,2288,1879,4167,2019,5
19-May,Sydney,Singapore,Singapore,60411,60491,120902,2019,5
19-May,Sydney,Suva,Fiji,245,348,593,2019,5
19-May,Sydney,Taipei,Taiwan,6484,7368,13852,2019,5
19-May,Sydney,Tokyo,Japan,18970,20486,39456,2019,5
19-May,Sydney,Tongatapu,Tonga,1020,1132,2152,2019,5
19-May,Sydney,Toronto,Canada,1183,1067,2250,2019,5
19-May,Sydney,Vancouver,Canada,4823,6761,11584,2019,5
